,open,high,low,close,volume,day,time
13866,308.05,308.11,307.94,308.08,56348,2019-11-08,13:30:00
13867,308.1,308.15,307.78,307.81,98885,2019-11-08,14:00:00
13868,307.8,308.29,307.18,307.32,5181374,2019-11-08,14:30:00
13869,307.33,308.01,307.03,308.01,4623218,2019-11-08,15:00:00
13870,308.01,308.18,307.89,308.11,1762954,2019-11-08,15:30:00
13871,308.11,308.265,307.76,307.86,2266898,2019-11-08,16:00:00
13872,307.95,308.0,307.78,307.78,44102,2019-11-11,09:30:00
13873,307.81,307.81,307.71,307.75,39960,2019-11-11,10:00:00
13874,307.75,307.75,307.54,307.62,28676,2019-11-11,10:30:00
13875,307.67,307.74,307.52,307.64,33171,2019-11-11,11:00:00
13876,307.7,307.92,307.7,307.81,57206,2019-11-11,11:30:00
13877,307.78,307.85,307.67,307.7,133303,2019-11-11,12:00:00
13878,307.69,307.79,307.63,307.71,83990,2019-11-11,12:30:00
13879,307.71,308.04,307.51,307.5901,154546,2019-11-11,13:00:00
13880,307.6,307.75,307.6,307.62,89944,2019-11-11,13:30:00
13881,307.62,307.67,307.39,307.42,380572,2019-11-11,14:00:00
13882,307.42,308.02,307.27,308.01,5557733,2019-11-11,14:30:00
13883,308.02,308.94,307.885,308.12,2459729,2019-11-11,15:00:00
13884,308.12,308.17,307.87,307.91,3094823,2019-11-11,15:30:00
13885,307.91,308.0954,307.84,307.89,1039163,2019-11-11,16:00:00
13886,308.68,308.75,308.4,308.53,3585,2019-11-12,09:30:00
13887,308.7,308.92,308.61,308.78,7910,2019-11-12,10:00:00
13888,308.78,308.9,308.78,308.82,4900,2019-11-12,10:30:00
13889,308.87,308.97,308.85,308.85,5226,2019-11-12,11:00:00
13890,308.82,308.82,308.65,308.7,7751,2019-11-12,11:30:00
13891,308.75,308.75,308.65,308.75,50955,2019-11-12,12:00:00
13892,308.74,308.78,308.7,308.7,11343,2019-11-12,12:30:00
13893,308.76,309.05,308.0,308.72,212678,2019-11-12,13:00:00
13894,308.69,308.69,308.46,308.6,81518,2019-11-12,13:30:00
13895,308.62,308.82,308.62,308.721,153195,2019-11-12,14:00:00
13896,308.75,309.465,308.55,309.45,3365394,2019-11-12,14:30:00
13897,309.46,309.89,309.2801,309.7967,3702528,2019-11-12,15:00:00
13898,309.8,309.99,309.71,309.7516,3936870,2019-11-12,15:30:00
13899,309.755,309.87,309.6,309.7,2019736,2019-11-12,16:00:00
13900,307.8,307.88,307.44,307.54,11202,2019-11-13,09:30:00
13901,307.67,307.88,307.64,307.81,13056,2019-11-13,10:00:00
13902,307.8,307.9,307.74,307.86,6771,2019-11-13,10:30:00
13903,307.84,307.87,307.73,307.82,10029,2019-11-13,11:00:00
13904,307.82,307.85,307.75,307.84,31089,2019-11-13,11:30:00
13905,307.91,307.94,307.66,307.82,47473,2019-11-13,12:00:00
13906,307.78,308.13,307.77,308.04,108346,2019-11-13,12:30:00
13907,307.89,309.0,307.73,308.13,78553,2019-11-13,13:00:00
13908,308.12,308.24,308.0,308.18,287011,2019-11-13,13:30:00
13909,308.19,308.2,307.87,307.89,453306,2019-11-13,14:00:00
13910,307.91,308.47,307.66,308.37,4336012,2019-11-13,14:30:00
13911,308.3701,308.71,308.23,308.55,2037098,2019-11-13,15:00:00
13912,308.56,309.03,308.28,309.0,3012459,2019-11-13,15:30:00
